feature,shap_normalized,perm_normalized,agreement,shap_rank,perm_rank,rank_diff
X2MTHETK,1.0,1.0,1.0,1.0,1.0,0.0
X2RTHETK,0.620512227301791,0.49351298746306177,0.8730007601612708,2.0,2.0,0.0
X1SESQ5,0.6175608419421285,0.2971188950860791,0.6795580531439507,3.0,4.0,1.0
X1MTHETK,0.5535237436373144,0.2627551273001928,0.7092313836628784,4.0,5.0,1.0
X4TCHAPP,0.5330181205001961,0.35592424368874026,0.8229061231885442,5.0,3.0,2.0
X6DCCSSCR,0.16332342595500093,0.029089003339691437,0.8657655773846905,6.0,6.0,0.0
X1RTHETK,0.0,0.0,1.0,9.5,9.5,0.0
X12LANGST,0.0,0.0,1.0,9.5,9.5,0.0
X2TCHAPP,0.0,0.0,1.0,9.5,9.5,0.0
X1TCHAPP,0.0,0.0,1.0,9.5,9.5,0.0
X_CHSEX_R,0.0,0.0,1.0,9.5,9.5,0.0
X_RACETH_R,0.0,0.0,1.0,9.5,9.5,0.0
