scenario,scenario_label,Group,vs,TPR Ratio,TPR Diff,FPR Ratio,FPR Diff,Disparate Impact
k_only,K Fall Only,Asian,White,3.440,+0.355,16.487,+0.157,No
k_only,K Fall Only,Black,White,1.440,+0.064,8.742,+0.078,No
k_only,K Fall Only,Hispanic,White,2.421,+0.207,7.914,+0.070,No
k_only,K Fall Only,Other,White,0.938,-0.009,2.072,+0.011,No
k_complete,K Fall + Spring,Asian,White,1.344,+0.064,12.608,+0.153,No
k_complete,K Fall + Spring,Black,White,1.500,+0.093,6.333,+0.071,No
k_complete,K Fall + Spring,Hispanic,White,1.862,+0.160,4.371,+0.045,No
k_complete,K Fall + Spring,Other,White,0.489,-0.095,1.584,+0.008,Yes
k_through_1st,K + 1st Grade,Asian,White,1.194,+0.041,10.717,+0.151,No
k_through_1st,K + 1st Grade,Black,White,1.556,+0.116,6.879,+0.091,No
k_through_1st,K + 1st Grade,Hispanic,White,1.735,+0.154,3.429,+0.038,No
k_through_1st,K + 1st Grade,Other,White,0.434,-0.118,2.020,+0.016,Yes
k_through_3rd,K through 3rd,Asian,White,1.265,+0.052,10.206,+0.150,No
k_through_3rd,K through 3rd,Black,White,1.588,+0.116,6.551,+0.091,No
k_through_3rd,K through 3rd,Hispanic,White,1.837,+0.165,3.402,+0.039,No
k_through_3rd,K through 3rd,Other,White,0.460,-0.107,1.924,+0.015,Yes
