scenario,scenario_label,Group,N,TPR,TPR_CI_lower,TPR_CI_upper,FPR,FPR_CI_lower,FPR_CI_upper,PPV,PPV_CI_lower,PPV_CI_upper
k_only,K Fall Only,Hispanic,629,0.3517649919700635,0.2875,0.4183594566353187,0.08002379022843428,0.05457814160146818,0.1044502598366741,0.6385722085494128,0.5523645320197045,0.7384312416555407
k_only,K Fall Only,Other,213,0.14093825531432752,0.0,0.3333333333333333,0.021485595570701666,0.005208333333333333,0.04189032791402591,0.42255278055278056,0.0,0.7512500000000003
k_only,K Fall Only,Black,301,0.21103924385907546,0.13400343642611684,0.3011326567596956,0.08661214104539704,0.04693743858499836,0.131872009569378,0.4970688144302876,0.34188596491228074,0.6750367647058824
k_only,K Fall Only,White,1458,0.1443261565115791,0.09932947487295314,0.19802030456852793,0.01003470085842706,0.00460604750294807,0.015629944620253165,0.6610212403822899,0.49969512195121957,0.8333333333333334
k_only,K Fall Only,Asian,10,0.4936865079365079,0.0,1.0,0.15854761904761905,0.0,0.5,0.6763369963369964,0.0,1.0
k_complete,K Fall + Spring,Hispanic,629,0.34606724850815224,0.271337570203961,0.4210593107133315,0.05816913839885938,0.03777568366592757,0.0813265306122449,0.7052879778454304,0.6019151690526957,0.793855435801312
k_complete,K Fall + Spring,Other,213,0.09709973447799893,0.0,0.2506944444444446,0.02158603236226933,0.00534617887559064,0.04547202797202798,0.3297179903429904,0.0,0.7146103896103897
k_complete,K Fall + Spring,Black,301,0.2874468995699463,0.193446519524618,0.3765524944154877,0.08272562403063567,0.04995772946859904,0.13108671668137686,0.583606982944537,0.45157258064516126,0.7318356867779204
k_complete,K Fall + Spring,White,1458,0.18501861044399376,0.13495766512395507,0.23636272944932166,0.013241443619408915,0.007134681573071746,0.020272212791783095,0.6545442268418035,0.5121680216802168,0.7873206333498268
k_complete,K Fall + Spring,Asian,10,0.23801587301587304,0.0,0.7512500000000003,0.17063095238095236,0.0,0.5,0.4882513661202185,0.0,1.0
k_through_1st,K + 1st Grade,Hispanic,629,0.36377020353117645,0.295974548112706,0.43556168647425014,0.05297142715278979,0.03325942350332594,0.07473641392775789,0.7343932890577451,0.6382530120481927,0.8215009652509653
k_through_1st,K + 1st Grade,Other,213,0.09709973447799893,0.0,0.2506944444444446,0.03088399959500663,0.010416666666666666,0.05886809269162211,0.26131500444000444,0.0,0.5727678571428574
k_through_1st,K + 1st Grade,Black,301,0.3336042928449767,0.2345117845117845,0.4205314171122995,0.10696269039513902,0.07070998698763827,0.15388349514563107,0.5566965762966013,0.4346973572037511,0.6851851851851852
k_through_1st,K + 1st Grade,White,1458,0.2084154195682553,0.15337133199079403,0.275,0.01573047321267979,0.009352351986802494,0.022482806985793143,0.6412046700158202,0.5244383727990286,0.7674865831842577
k_through_1st,K + 1st Grade,Asian,10,0.23801587301587304,0.0,0.7512500000000003,0.17063095238095236,0.0,0.5,0.4882513661202185,0.0,1.0
k_through_3rd,K through 3rd,Hispanic,629,0.36377020353117645,0.295974548112706,0.43556168647425014,0.05571276517363051,0.03416469093332094,0.07761026856159971,0.7244673884041134,0.6294802867383513,0.8148989898989899
k_through_3rd,K through 3rd,Other,213,0.09709973447799893,0.0,0.2506944444444446,0.03088399959500663,0.010416666666666666,0.05886809269162211,0.26131500444000444,0.0,0.5727678571428574
k_through_3rd,K through 3rd,Black,301,0.3207871814316512,0.23134502923976613,0.4090909090909091,0.10619835271963392,0.06757519481465298,0.15238916256157636,0.5493627949381089,0.4150828347906121,0.6801875000000001
k_through_3rd,K through 3rd,White,1458,0.19679873297343176,0.14717463440984685,0.26121124098831106,0.016491925111106007,0.009483570106339255,0.024069727747299225,0.6170034862286775,0.5,0.7547266076241818
k_through_3rd,K through 3rd,Asian,10,0.23801587301587304,0.0,0.7512500000000003,0.17063095238095236,0.0,0.5,0.4882513661202185,0.0,1.0
